id,name,price,barcode,stock_quantity,village,category,description
1,Fresh Maize,20.0,85001,50,Vhulaudzi,Agriculture,
2,Goat,450.0,85002,5,Gundo,Livestock,
3,Wood Carving,300.0,85003,10,Sibasa,Arts & Crafts,
4,Fresh Vegetables (Thohoyandou),20.0,100000,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
5,Mobile Charging (Thohoyandou),21.0,100001,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
6,Tailoring Services (Thohoyandou),22.0,100002,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
7,Bakery Items (Thohoyandou),23.0,100003,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
8,Phone Repairs (Thohoyandou),24.0,100004,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
9,Fresh Vegetables (Thohoyandou),25.0,100005,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
10,Mobile Charging (Thohoyandou),26.0,100006,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
11,Tailoring Services (Thohoyandou),27.0,100007,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
12,Bakery Items (Thohoyandou),28.0,100008,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
13,Phone Repairs (Thohoyandou),29.0,100009,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
14,Fresh Vegetables (Thohoyandou),30.0,100010,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
15,Mobile Charging (Thohoyandou),31.0,100011,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
16,Tailoring Services (Thohoyandou),32.0,100012,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
17,Bakery Items (Thohoyandou),33.0,100013,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
18,Phone Repairs (Thohoyandou),34.0,100014,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
19,Fresh Vegetables (Thohoyandou),35.0,100015,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
20,Mobile Charging (Thohoyandou),36.0,100016,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
21,Tailoring Services (Thohoyandou),37.0,100017,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
22,Bakery Items (Thohoyandou),38.0,100018,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
23,Phone Repairs (Thohoyandou),39.0,100019,3,Thohoyandou,Agriculture,Available in Thohoyandou. Population: 1507
24,Maize Harvest (Manini),20.0,100020,8,Manini,Agriculture,Available in Manini. Population: 4090
25,Chickens (Manini),21.0,100021,8,Manini,Agriculture,Available in Manini. Population: 4090
26,Traditional Crafts (Manini),22.0,100022,8,Manini,Agriculture,Available in Manini. Population: 4090
27,Transport Services (Manini),23.0,100023,8,Manini,Agriculture,Available in Manini. Population: 4090
28,Fresh Milk (Manini),24.0,100024,8,Manini,Agriculture,Available in Manini. Population: 4090
29,Maize Harvest (Manini),25.0,100025,8,Manini,Agriculture,Available in Manini. Population: 4090
30,Chickens (Manini),26.0,100026,8,Manini,Agriculture,Available in Manini. Population: 4090
31,Traditional Crafts (Manini),27.0,100027,8,Manini,Agriculture,Available in Manini. Population: 4090
32,Transport Services (Manini),28.0,100028,8,Manini,Agriculture,Available in Manini. Population: 4090
33,Fresh Milk (Manini),29.0,100029,8,Manini,Agriculture,Available in Manini. Population: 4090
34,Maize Harvest (Manini),30.0,100030,8,Manini,Agriculture,Available in Manini. Population: 4090
35,Chickens (Manini),31.0,100031,8,Manini,Agriculture,Available in Manini. Population: 4090
36,Traditional Crafts (Manini),32.0,100032,8,Manini,Agriculture,Available in Manini. Population: 4090
37,Transport Services (Manini),33.0,100033,8,Manini,Agriculture,Available in Manini. Population: 4090
38,Fresh Milk (Manini),34.0,100034,8,Manini,Agriculture,Available in Manini. Population: 4090
39,Maize Harvest (Manini),35.0,100035,8,Manini,Agriculture,Available in Manini. Population: 4090
40,Chickens (Manini),36.0,100036,8,Manini,Agriculture,Available in Manini. Population: 4090
41,Traditional Crafts (Manini),37.0,100037,8,Manini,Agriculture,Available in Manini. Population: 4090
42,Transport Services (Manini),38.0,100038,8,Manini,Agriculture,Available in Manini. Population: 4090
43,Fresh Milk (Manini),39.0,100039,8,Manini,Agriculture,Available in Manini. Population: 4090
44,Maize Harvest (Manini),40.0,100040,8,Manini,Agriculture,Available in Manini. Population: 4090
45,Chickens (Manini),41.0,100041,8,Manini,Agriculture,Available in Manini. Population: 4090
46,Traditional Crafts (Manini),42.0,100042,8,Manini,Agriculture,Available in Manini. Population: 4090
47,Transport Services (Manini),43.0,100043,8,Manini,Agriculture,Available in Manini. Population: 4090
48,Fresh Milk (Manini),44.0,100044,8,Manini,Agriculture,Available in Manini. Population: 4090
49,Maize Harvest (Manini),45.0,100045,8,Manini,Agriculture,Available in Manini. Population: 4090
50,Chickens (Manini),46.0,100046,8,Manini,Agriculture,Available in Manini. Population: 4090
51,Traditional Crafts (Manini),47.0,100047,8,Manini,Agriculture,Available in Manini. Population: 4090
52,Transport Services (Manini),48.0,100048,8,Manini,Agriculture,Available in Manini. Population: 4090
53,Fresh Milk (Manini),49.0,100049,8,Manini,Agriculture,Available in Manini. Population: 4090
54,Maize Harvest (Manini),50.0,100050,8,Manini,Agriculture,Available in Manini. Population: 4090
55,Chickens (Manini),51.0,100051,8,Manini,Agriculture,Available in Manini. Population: 4090
56,Traditional Crafts (Manini),52.0,100052,8,Manini,Agriculture,Available in Manini. Population: 4090
57,Transport Services (Manini),53.0,100053,8,Manini,Agriculture,Available in Manini. Population: 4090
58,Fresh Milk (Manini),54.0,100054,8,Manini,Agriculture,Available in Manini. Population: 4090
59,Maize Harvest (Manini),55.0,100055,8,Manini,Agriculture,Available in Manini. Population: 4090
60,Chickens (Manini),56.0,100056,8,Manini,Agriculture,Available in Manini. Population: 4090
61,Traditional Crafts (Manini),57.0,100057,8,Manini,Agriculture,Available in Manini. Population: 4090
62,Transport Services (Manini),58.0,100058,8,Manini,Agriculture,Available in Manini. Population: 4090
63,Fresh Milk (Manini),59.0,100059,8,Manini,Agriculture,Available in Manini. Population: 4090
64,Wood Carvings (Sibasa),20.0,100060,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
65,Furniture (Sibasa),21.0,100061,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
66,Agricultural Tools (Sibasa),22.0,100062,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
67,Clothing (Sibasa),23.0,100063,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
68,Electronics (Sibasa),24.0,100064,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
69,Wood Carvings (Sibasa),25.0,100065,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
70,Furniture (Sibasa),26.0,100066,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
71,Agricultural Tools (Sibasa),27.0,100067,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
72,Clothing (Sibasa),28.0,100068,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
73,Electronics (Sibasa),29.0,100069,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
74,Wood Carvings (Sibasa),30.0,100070,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
75,Furniture (Sibasa),31.0,100071,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
76,Agricultural Tools (Sibasa),32.0,100072,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
77,Clothing (Sibasa),33.0,100073,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
78,Electronics (Sibasa),34.0,100074,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
79,Wood Carvings (Sibasa),35.0,100075,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
80,Furniture (Sibasa),36.0,100076,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
81,Agricultural Tools (Sibasa),37.0,100077,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
82,Clothing (Sibasa),38.0,100078,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
83,Electronics (Sibasa),39.0,100079,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
84,Wood Carvings (Sibasa),40.0,100080,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
85,Furniture (Sibasa),41.0,100081,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
86,Agricultural Tools (Sibasa),42.0,100082,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
87,Clothing (Sibasa),43.0,100083,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
88,Electronics (Sibasa),44.0,100084,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
89,Wood Carvings (Sibasa),45.0,100085,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
90,Furniture (Sibasa),46.0,100086,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
91,Agricultural Tools (Sibasa),47.0,100087,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
92,Clothing (Sibasa),48.0,100088,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
93,Electronics (Sibasa),49.0,100089,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
94,Wood Carvings (Sibasa),50.0,100090,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
95,Furniture (Sibasa),51.0,100091,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
96,Agricultural Tools (Sibasa),52.0,100092,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
97,Clothing (Sibasa),53.0,100093,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
98,Electronics (Sibasa),54.0,100094,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
99,Wood Carvings (Sibasa),55.0,100095,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
100,Furniture (Sibasa),56.0,100096,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
101,Agricultural Tools (Sibasa),57.0,100097,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
102,Clothing (Sibasa),58.0,100098,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
103,Electronics (Sibasa),59.0,100099,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
104,Wood Carvings (Sibasa),60.0,100100,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
105,Furniture (Sibasa),61.0,100101,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
106,Agricultural Tools (Sibasa),62.0,100102,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
107,Clothing (Sibasa),63.0,100103,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
108,Electronics (Sibasa),64.0,100104,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
109,Wood Carvings (Sibasa),65.0,100105,9,Sibasa,Agriculture,Available in Sibasa. Population: 4660
110,Local Produce (Mukhomi),20.0,100106,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
111,Handicrafts (Mukhomi),21.0,100107,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
112,Services (Mukhomi),22.0,100108,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
113,Food Items (Mukhomi),23.0,100109,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
114,Household Goods (Mukhomi),24.0,100110,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
115,Local Produce (Mukhomi),25.0,100111,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
116,Handicrafts (Mukhomi),26.0,100112,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
117,Services (Mukhomi),27.0,100113,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
118,Food Items (Mukhomi),28.0,100114,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
119,Household Goods (Mukhomi),29.0,100115,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
120,Local Produce (Mukhomi),30.0,100116,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
121,Handicrafts (Mukhomi),31.0,100117,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
122,Services (Mukhomi),32.0,100118,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
123,Food Items (Mukhomi),33.0,100119,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
124,Household Goods (Mukhomi),34.0,100120,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
125,Local Produce (Mukhomi),35.0,100121,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
126,Handicrafts (Mukhomi),36.0,100122,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
127,Services (Mukhomi),37.0,100123,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
128,Food Items (Mukhomi),38.0,100124,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
129,Household Goods (Mukhomi),39.0,100125,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
130,Local Produce (Mukhomi),40.0,100126,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
131,Handicrafts (Mukhomi),41.0,100127,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
132,Services (Mukhomi),42.0,100128,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
133,Food Items (Mukhomi),43.0,100129,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
134,Household Goods (Mukhomi),44.0,100130,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
135,Local Produce (Mukhomi),45.0,100131,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
136,Handicrafts (Mukhomi),46.0,100132,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
137,Services (Mukhomi),47.0,100133,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
138,Food Items (Mukhomi),48.0,100134,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
139,Household Goods (Mukhomi),49.0,100135,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
140,Local Produce (Mukhomi),50.0,100136,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
141,Handicrafts (Mukhomi),51.0,100137,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
142,Services (Mukhomi),52.0,100138,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
143,Food Items (Mukhomi),53.0,100139,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
144,Household Goods (Mukhomi),54.0,100140,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
145,Local Produce (Mukhomi),55.0,100141,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
146,Handicrafts (Mukhomi),56.0,100142,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
147,Services (Mukhomi),57.0,100143,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
148,Food Items (Mukhomi),58.0,100144,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
149,Household Goods (Mukhomi),59.0,100145,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
150,Local Produce (Mukhomi),60.0,100146,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
151,Handicrafts (Mukhomi),61.0,100147,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
152,Services (Mukhomi),62.0,100148,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
153,Food Items (Mukhomi),63.0,100149,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
154,Household Goods (Mukhomi),64.0,100150,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
155,Local Produce (Mukhomi),65.0,100151,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
156,Handicrafts (Mukhomi),66.0,100152,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
157,Services (Mukhomi),67.0,100153,9,Mukhomi,Agriculture,Available in Mukhomi. Population: 4998
